mass_g,group,metabolic_loss_per_day,fmr_w_per_g,whole_body_fmr_w
0.10539767972822035,mammal endotherm,1.1482610076503512,0.09303040571241272,0.009805188906263277
0.10539767972822035,bird endotherm,1.6710337044589243,0.13538467512977395,0.014269230629437074
0.11464648145217106,ectotherm,0.02782953898731644,0.00225470801980573,0.000258494341172719
0.11464648145217106,mammal endotherm,1.1224773949713174,0.0909414556111021,0.010426117903951655
0.11464648145217106,bird endotherm,1.6335114986866108,0.13234468160655413,0.015172852085099293
0.12470687915764175,ectotherm,0.027457517128341342,0.0022245673599350624,0.000277418852933456
0.12470687915764175,mammal endotherm,1.0972727401061895,0.08889941181415888,0.01108636820629374
0.12470687915764175,bird endotherm,1.5968318348224977,0.12937294958052642,0.016133696789606387
0.13565009158808475,ectotherm,0.02709046841188284,0.002194829616703471,0.00029772883852606676
0.13565009158808475,mammal endotherm,1.0726340428538528,0.08690322106454826,0.011788429896705546
0.13565009158808475,bird endotherm,1.5609757940196638,0.12646794627474128,0.017155388495125636
0.14755358703664753,ectotherm,0.026728326357582623,0.0021654894039708143,0.0003195257292457455
0.14755358703664753,mammal endotherm,1.0485485949260493,0.0849518537555827,0.012534950747048924
0.14755358703664753,bird endotherm,1.5259248822442062,0.12362817332997042,0.018241780433625537
0.16050163175336873,ectotherm,0.02637102537378361,0.002136541407598209,0.00034291838222815185
0.16050163175336873,mammal endotherm,1.025003973392623,0.0830443033998653,0.013328746203500207
0.16050163175336873,bird endotherm,1.4916610207362788,0.12085216603187446,0.019396969849044893
0.1745858864759136,ectotherm,0.026018500745649972,0.00210798038448553,0.00036802362409924346
0.1745858864759136,mammal endotherm,1.0019880342739504,0.08117958611015802,0.0141728100047897
0.1745858864759136,bird endotherm,1.4581665366853254,0.11813849255552406,0.020625313449734287
0.18990605530676075,ectotherm,0.025670688623445813,0.0020798011616217672,0.00039496683442600855
0.18990605530676075,mammal endotherm,0.9794889062772496,0.0793567400919068,0.01507032547285789
0.18990605530676075,bird endotherm,1.4254241541146977,0.11548575322688523,0.02193144383944779
0.20657059153031834,ectotherm,0.02532752601097071,0.0020519986351480897,0.0004238825718819468
0.20657059153031834,mammal endotherm,0.957494984673536,0.07757482514716148,0.01602467751851016
0.20657059153031834,bird endotherm,1.3934169849709521,0.11289257980088732,0.023320286988852964
0.2246974653665322,ectotherm,0.024988950754149683,0.0020245677694334233,0.000454915246254464
0.2246974653665322,mammal endotherm,0.9359949253120697,0.07583292218963528,0.017039465407348506
0.2246974653665322,bird endotherm,1.3621285204132336,0.11035763475570179,0.024797080813451715
0.24441499909600484,ectotherm,0.02465490152977579,0.0019975035961623906,0.0004882198396502971
0.24441499909600484,mammal endotherm,0.9149776387692035,0.07413013277065306,0.018118516334125884
0.24441499909600484,bird endotherm,1.3315426222982514,0.1078796106028676,0.02636739492797724
0.265862775468574,ectotherm,0.024325317834403205,0.001970801213435445,0.0005239626805007809
