0,1,2,3,4,5,6,7,8,9,10
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.154820041890152e-06,0.0,0.00039127767243637014
74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.766563102721177e-06,0.0,0.0003069794533431853
76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0777417339658035e-06,0.0,0.000240842735002227
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8835161174454643e-06,0.0,0.00018895474068913158
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0390367370057696e-06,0.0,0.00014824567587046715
82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4418753513142382e-06,0.0,0.00011630711319621143
84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0196013102644045e-06,0.0,9.124950525947313e-05
86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.209963267251545e-07,0.0,7.159039530154754e-05
88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6166712190472575e-05
90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.406596087365349e-05
92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.457223739807481e-05
94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7123874641831808e-05
96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1280212996187947e-05
98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.669553008716248e-05
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.309858716833709e-05
102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0276582109749896e-05
104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.062559610529274e-06
106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.325533798991851e-06
108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.962738854040129e-06
110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.893549179568815e-06
112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0547094375879908e-06
114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3965922395572553e-06
116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8802620936809197e-06
118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4751719055831042e-06
120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1573557528682362e-06
122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.080110145995066e-07
124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
